,id,purpose_normalized,ClassPurpose
17598,146244,acertar algumas pendencias financeira,investment
17599,146243,para pagar dividas em cartão de credito,debt
17601,146240,pagar dívidas,debt
17602,146239,nada a declarar,debt
17605,146235,compras diversas,investment
17609,146226,compra bens,investment
17612,146222,quitar dividas,debt
17613,146220,para quitar algumas dividas,debt
17615,146218,comprar roupas para revender nova colecao de inverno,investment
17616,146216,investir em algum tipo de comercio e pagar algumas dividas,investment
17618,146214,pagar contas finalizar carnes ficar só com essas parcelas,debt
17619,146213,para colocar conta corrente em ordem,investment
17621,146210,reforma,debt
17623,146207,nada a declarar,debt
17624,146205,para saldar essa divida e vender o carroquem dirige é minha filha e ela quer trocar,debt
17626,146203,reforma e construção,investment
17627,146202,pagar dividas,debt
17628,146201,obra,debt
17629,146199,reorganizar minha vida financeira,investment
17630,146198,para pagar o ipva atrasado e desse ano do veículo pois meu nome ficou protestado e não é possível parcelamento,debt
17632,146196,pagar dívida de cartão de crédito,debt
17636,146191,pagamento variados,debt
17638,146188,investir no meu negocio,investment
17641,146185,para pagar cartoes de credito em atraso,debt
17642,146184,investimento,investment
17643,146183,refinanciar dividas,investment
17644,146182,quitar algumas dívidas e cobrir o meu saldo negativo,debt
17645,146179,pagar pos graduacao,debt
17647,146176,cheque especial cartão,debt
17650,146172,quitação de dívidas com bancos,debt
17652,146166,pagar agiota,debt
17656,146162,pagar alguma dividas,debt
17658,146160,reforma da casa,investment
17659,146159,gastos variados,debt
17660,146157,capital giro,investment
17661,146153,quitar,investment
17662,146152,saldar contas,debt
17663,146151,para quitar prestações em atraso devido não haver recebido comissão,debt
17664,146150,viagem,investment
17665,146149,pagar contas,debt
17668,146143,15000,debt
17670,146138,pagar dividas,debt
17671,146135,comprar agil do carro,debt
17675,146130,para investimentos na empressa,investment
17676,146128,construção,investment
17677,146126,para quitar uma dívida com uma pessoa,debt
17678,146125,nada a declarar,debt
17679,146124,quitar dividas,debt
17684,146118,cobertura de cheque especial,debt
17685,146117,reforma residencia,investment
17686,146116,iniciar negócio próprio,debt
17688,146110,para abrir uma loja,debt
17690,146108,quitação de dívidas,debt
17697,146098,quitar dividas,debt
17699,146095,quitar o veiculo e pagar dividas,debt
17704,146089,para comprar o veiculo,investment
17705,146088,quitar dívidas,debt
17707,146084,pagar dívida,debt
17708,146083,quitar dividas,debt
17709,146002,quitar dividas,debt
17710,146000,pagar contas,debt
17711,145999,pagar dividas,debt
17715,145993,quitar divida cheque especial,debt
17716,145992,para pagamento deste veiculo dscrimina acima,debt
17719,145986,para a compra do mesmo,investment
17720,145985,pagar dívidas,debt
17722,145982,saldar dividas,debt
17726,145977,20000,debt
17728,145973,pagar divida de cartão e antecipar percelas do terreno,debt
17731,145969,tratamento dentário,debt
17736,145962,pra comprar outro carro,investment
17738,145960,negócio novo,debt
17742,145954,quitar divida,debt
17749,145947,para pagar algumas dívidas que tornam meu cpf restrito e pagar cartão de crédito,debt
17754,145940,pagar dividas pessoais,debt
17755,145939,pra pagar uma cirugia da minha filha que custa 50 mil mas so tenho 40mil e precisso de mas 10 mil rapido,debt
17757,145936,quitar veiculo com juros mais baixos,debt
17759,145932,abri firma,investment
17760,145930,para fins pessoais,debt
17761,145929,cartao de credito,debt
17762,145927,investment_in_own_business,investment
17768,145919,nada a declarar,debt
17769,145918,despesas de casa,debt
17770,145916,pagar dividas do cartao,debt
17771,145912,para fundo de caixa abri empresa recentemente,debt
17774,145909,quitar divida,debt
17776,145907,15000,debt
17781,145897,pagar contas diversas,debt
17784,145891,gastos variados,debt
17787,145887,para casar,investment
17788,145886,para fazer um investimento de negocio,investment
17790,145882,para compra uma casa,investment
17791,145878,para tirar um apartamento,debt
17795,145870,investimento,investment
17801,145862,para comprar moveis,investment
17803,145860,nada a declarar,debt
17806,145856,para acabar de terminar minha casa,debt
17815,145841,comprar outro carro,debt
17817,145837,pagar cartão de credito,debt
17820,145833,nada a declarar,debt
17822,145830,reformar minha casa,investment
17824,145828,concluir obra,debt
17830,145822,nada a declarar,debt
17832,145820,pagar emprestimos,debt
17836,145814,para quitar o ipva do veículo e terminar de pagar meu curso de inglês,debt
17837,145812,quitar dívidas totais,debt
17839,145809,pagar uma divida,debt
17843,145802,para acertar acordos e ficar com um emprestimo unico,investment
17845,145800,materias de construçao,investment
17847,145797,nada a declarar,debt
17848,145796,terminar uma obra,debt
17849,145794,pagar procedimento de colangiografia de minha mãe,debt
17851,145792,quitar impostos municipais,debt
17855,145787,comprar o carro,debt
17860,145780,compra de veiculo,investment
17863,145774,para pagraas contar,debt
17864,145773,terminar construçao,investment
17865,145772,adiantamento de um veiculo,debt
17868,145769,investimento,investment
17869,145768,contas variadas preciso de gordura para segurar este momento ruim do mercado e deixar minhas contas em dia,investment
17872,145763,pagar divida,debt
17874,145760,nada a declarar,debt
17878,145753,para saldar compromisso,debt
17886,145744,quitar dívidas limpar meu nome,debt
17887,145741,compra uma kombi,investment
17889,145738,pagar dividas,debt
17890,145737,quitar dividas e ficar com uma unica prestaçao,investment
17891,145736,pagar dividas,debt
17892,145735,pra completar meu dingeiro,debt
17893,145734,11000,debt
17894,145732,quitar empréstimo pessoal,investment
17895,145731,pagar umas multa do carro,debt
17898,145727,nada a declarar,debt
17899,145726,imvestimentos,investment
17906,145719,investimento,investment
17907,145717,o veículo é quitado e baú secoempréstimo para substituir o baú seco por baú refrigerado pretendo revender queijo e peixes produzidos na região que estou e revenda região dos lagos no rio morei lá por cinco anos p baú refrig geradorbalançaetc,investment
17910,145712,investir na minha micro empresa,investment
17914,145708,construir casa,investment
17915,145707,trocar o veiculo,debt
17917,145705,pagar contas,debt
17918,145702,pagar algumas dívidas,debt
17920,145700,capital de giro,investment
17923,145696,investir em comércio de alimentação,investment
17926,145691,quitar dividas,debt
17927,145687,nada a declarar,debt
17931,145680,quitar o veículo já que as parcelas são altas e quitar cartão de crédito,debt
17932,145678,nada a declarar,debt
17937,145670,para aquisição de veiculo novo,investment
17940,145667,pagar dividas diversas,debt
17947,145659,investimento,investment
17949,145656,pagar dívidas adquiridas em função de imprevistos ocorridos no primeiro trimestre16,debt
17951,145653,para investir em minha empresa,investment
17952,145651,nada a declarar,debt
17953,145650,pagar divida em aberto no valor de 3600 reais,debt
17955,145647,para de anda ape eter meu veiculo de trasporte pratrabalha,investment
17956,145646,investimento,investment
17960,145640,nada a declarar,debt
17961,145638,comprar veiculo,investment
17966,145633,nada a declarar,debt
17969,145630,para cobrir outras dividas,investment
17974,145624,para cartão de crédito e dívidas pessoais,debt
17975,145623,nada a declarar,debt
17976,145622,gastos variados,debt
17977,145621,investimento,investment
17979,145616,investimentos,investment
17981,145613,prssoal,investment
17982,145612,comprar casa,investment
17983,145611,quitar dívidas oriunda de atrasos em pagamentos à minha empresa,debt
17985,145606,comprá outro carro mais barato,debt
17986,145603,pagar dividas de cartão,debt
17987,145602,pra conpra outro veiculo,debt
17989,145600,reforma de imovel,investment
17990,145599,para quitar dividas ativas,debt
17991,145596,para quitar minhas dívidas financeiras são muitas,debt
17995,145592,investimento,investment
17999,145587,para capital de giro,investment
18000,145586,regularizar pequenas dívidas,debt
18003,145582,adiquirir este veiculo,debt
18004,145579,quitar outras dividas,debt
18006,145572,para fazer investimento,investment
18008,145570,pagar contas,debt
18010,145566,quitação do carro,debt
18013,145561,investimento,investment
18014,145559,nada a declarar,debt
18016,145557,nada a declarar,debt
18017,145556,médico,debt
18020,145551,abrir o proprio salao,investment
18023,145548,para envestimento da oficina quero ampliar e melhorar o estabelecimento compras de elevadores para carros e ferramentas e construção,investment
18024,145547,trabalho,debt
18025,145546,trocar de veiculo,debt
18028,145543,pagamento cartão de crédito,debt
18029,145540,diversos,investment
18036,145531,para quitar pendências e ficar livre de dívidas,debt
18037,145530,compra de notebook,investment
18038,145527,nada a declarar,debt
18039,145525,pagar cartões,debt
18042,145521,concluir serviço na minha propriedade rural,investment
18044,145518,reforma de casa,debt
18049,145511,investir em maquina,investment
18052,145508,envestir na minha empresa,investment
18054,145506,gostaria de quitar uma dívida mais cara,debt
18057,145503,reforma de minha casa,investment
18058,145501,nada a declarar,debt
18060,145496,investment_in_own_business,investment
18061,145494,nada a declarar,debt
18063,145491,doença,debt
18067,145483,nada a declarar,debt
18069,145480,para quitar o carro e assumir as prestaçoes com o banco,debt
18070,145479,quitar débitos pendentes,debt
18071,145478,para quitar cartão de credito e cancelar cartão,debt
18073,145475,para pagar dividas,debt
18075,145471,quitar cheque especial,investment
18076,145470,pagar dividas,debt
18078,145466,para comprar o carro e usar como ferramenta de trabalho,investment
18079,145465,começa um negocio,investment
18080,145464,para compra de um veículo,investment
18083,145454,para terminar investimento que foi iniciado,investment
18089,145446,pagar conserto de batida no varro,debt
18093,145441,paga ao gu mais dividas,debt
18094,145439,terminar a obra da minha casa,debt
18096,145437,nada a declarar,debt
18098,145430,para fazer uma transação imobiliária,investment
18105,145421,particular,investment
18106,145420,nada a declarar,debt
18110,145415,complementar para compra do veicolo,investment
18115,145408,gastos diversos,debt
18117,145406,capital de giro,investment
18120,145403,para pagar o carro,debt
18121,145401,para completar o valor que ja tenho e comprar um imovel,investment
18122,145400,capital de giro,investment
18123,145399,quitar algumas dívidas,debt
18125,145397,obras,debt
18126,145396,envestir na minha empresa,investment
18129,145390,nada a declarar,debt
18131,145386,quitar dividas,debt
18132,145385,pagar dividas,debt
18133,145381,para pagamento de dívidas com o meu banco,debt
18137,145377,quitar dívidas,debt
18140,145372,para investir num negocio,investment
18141,145371,quitar dividas,debt
18144,145368,investimento empreza,investment
18145,145367,refinanciar dividas,investment
18146,145365,outras despesas,debt
18149,145362,preciso quitar o saldo do cheque especial e cartão e pelas minhas contas com o valor que sobrar cerca de 1000000 mais 500000 que a minha esposa vai receber em maio eu posso comprar um carro mais velho a vista pq vamos precisar,investment
18152,145357,para consertar o caminhão,investment
18157,145323,nada a declarar,debt
18159,145321,contas a pagar,debt
18161,145319,para comprar um veiculo para trabalho,investment
18165,145313,quitar cartao,debt
18168,145310,pagar cheque eespecial,debt
18170,145306,investir em comercio,investment
18171,145303,investir em equipamentos de foto e vídeo,investment
18174,145299,quitar dividas,debt
18175,145296,quitar o carro e pagar contas,debt
18177,145292,projeto pessoal,investment
18179,145290,reforma de um imovel,investment
18182,145285,reforma da casa propria,investment
18183,145284,pagar uma divida de 4 mil reais que tenho,debt
18184,145282,cartão,debt
18186,145279,objetivos pessoais,debt
18187,145278,dividas pessoais,debt
18189,145276,investimento,investment
18190,145274,quitar o veiculo e comprar outro,investment
18192,145272,pagar dívidas,debt
18198,145265,pagar dívidas pessoal,debt
18201,145259,investimento em minha empresa,investment
18203,145256,quitar dívidas,debt
18205,145252,compra de imovel,investment
18206,145249,finalizar sala comercial própria em bairro nobre,investment
18207,145248,refinanciar,investment
18209,145245,pagar contas em atraso,debt
18210,145243,reestabelecer capital de giro de minha empresa,investment
18213,145237,pagamentos diversos,investment
18214,145236,quitar o carro,debt
18215,145233,pagar dívidas,debt
18216,145232,quitar dívidas e terminar a reforma da casa,debt
18217,145231,dividas variadas,debt
18218,145229,quitar dividas,debt
18220,145224,trocar por um veículo mais novo,investment
18221,145222,para pagamento de dividas em cartões,debt
18222,145221,tratamento medico,debt
18224,145218,saldar dívidas bancárias,debt
18226,145214,nada a declarar,debt
18228,145210,pagar contas,debt
18229,145209,nada a declarar,debt
18232,145205,pagar algumas dividas,debt
18234,145201,quitar dividas,debt
18235,145200,pagamento de funcionários,debt
18236,145199,nada a declarar,debt
18237,145198,adquirir,investment
18239,145196,para pagar dividas pessoais,debt
18240,145193,transferência de dívida,debt
18245,145187,r1600000,investment
18246,145186,capital de giro para negócio próprio,investment
18248,145183,gastos gerais,debt
18249,145182,quitar outras dívidas,debt
18251,145180,quitar dívidas do veículo,debt
18252,145179,para ivestir salão de beleza,investment
18256,145175,nada a declarar,debt
18258,145172,para capital de giro comercio,investment
18260,145170,organizar minhas dividas e pagar apenas o emprestimo,debt
18263,145164,ampliar negocio,investment
18265,145162,compra de material de construçao,investment
18269,145158,quitar empréstimos,investment
18275,145145,reforma imovel,investment
18277,145141,organização financeira,investment
18278,145140,mudança,debt
18281,145135,investimento,investment
18283,145133,investimento em educação,investment
18284,145132,educação,debt
18285,145131,pagar ducumentos do veiculo,debt
18287,145126,cobrir cheque especial taxa está alta,debt
18289,145123,investir,investment
18290,145122,trabalhar por conta,debt
18293,145118,para construção,investment
18295,145114,pagar dividas,debt
18297,145112,pagar dividas,debt
18301,145106,estou comprando um veiculo melhor,investment
18303,145103,quitacao de dividas,debt
18307,145098,quitar reforma do apartamento e cartao de credito,debt
18308,145097,investimento da minha empresa,investment
18311,145093,mudança,debt
18312,145092,quitação dividas,debt
18316,145084,para pagar o consorcio e outras dividas,debt
18317,145082,comprar um caminhão,investment
18318,145081,pra compra outro veiculos,debt
18322,145075,organizar finanças,investment
18323,145074,motivo particular,investment
18325,145072,pagar dívidas do cartão de crédito,debt
18327,145070,pagar dividas e comprar moto,debt
18328,145069,quitar dívidas,debt
18332,145065,entrada em um apartamento,investment
18333,145057,investimentos,investment
18335,145054,quitar dividas,debt
18337,145052,investimento,investment
18342,145045,investimento,investment
18345,145042,investimento,investment
18349,145038,gastos diversos,debt
18352,145032,pagar as contas,debt
18353,145031,pagamento de contas,investment
18355,145026,pra dar entrada em um apto,investment
18356,145025,quitar essa divida,debt
18361,145020,pagar algumas dividas,debt
18362,145018,troca de carro,debt
18364,145016,investimentos no meu comércio,investment
18365,145015,quitar dividas,debt
18366,145012,compra de veículo,investment
18368,145008,para quitar o veiculo,debt
18369,145007,reforma,debt
18374,145000,contas diversas,investment
18378,144995,carro,debt
18379,144994,pagamentos variados,debt
18382,144988,reforma de casa,debt
18383,144987,baixar o valor da prestação do veículo,investment
18385,144985,quitar dividas pessoais,debt
18387,144980,construcao,investment
18391,144972,para capital de giro,investment
18392,144971,quitar divida,debt
18395,144968,pagamento de dividas diversas,investment
18396,144967,envestimento,investment
18400,144963,investir,investment
18401,144960,em vestir na minha empresa gráfica,investment
18402,144959,quitar cartão de credito,debt
18404,144953,para regulariza a situação do meu carro e outras pequenas contas,debt
18405,144952,para quitalo a vista,investment
18410,144943,gastos diversos,debt
18415,144933,ns minhs casa,investment
18416,144932,compra de aparelho laboratorial,investment
18417,144931,reorganizar contas,investment
18419,144928,50000,investment
18420,144927,nada a declarar,debt
18422,144925,saude,debt
18427,144920,comprar carro trabalho,debt
18429,144918,para comprar um computador para minha filha,investment
18430,144917,investimento,investment
18431,144913,para investimento em negocio próprio,investment
18433,144911,reforma de apto,investment
18435,144907,pagamento de dívidas,debt
18437,144904,quitação de dívidas com parcelas de valor e juros mais altos que o simulado,debt
18440,144900,para comprar carro,investment
18441,144897,investir em minha empresa,investment
18446,144891,quitar cheque especial,investment
18447,144890,quitar dividas com cartao,debt
18448,144888,abri uma empresa,debt
18451,144883,fazer o casamento de minha filha,investment
18452,144882,comprar o mesmo,investment
18454,144878,para colocar em dias as parcelas do carro bancos e cartão de crédito,debt
18455,144877,para pagar todas minhas dividas e regularizar meu nome,debt
18457,144875,casamento,debt
18459,144872,refinanciar dívidas,debt
18460,144869,pagar cheque especial e cartão de credito,debt
18461,144868,diversas contas do casamento casei mês passado,debt
18467,144854,abrir uma loja,debt
18468,144853,pagar dívidas,debt
18469,144851,pagar contas,debt
18471,144846,uso pessoal,debt
18472,144842,investimento,investment
18476,144838,renegociaçao de dividas,investment
18477,144837,tratamento médico,debt
18481,144831,reorganização financeira,investment
18482,144830,nada a declarar,debt
18483,144829,dividas em banco,debt
18485,144827,investimento em equipamentos,investment
18486,144825,quitar conta corrente juros muito alto,debt
18487,144822,investimento,investment
18488,144821,reforma da minha casa,investment
18489,144820,nada a declarar,debt
18490,144819,investimento,investment
18492,144817,ajuste do orçamento,debt
18493,144816,investimento comercial,investment
18494,144815,para pagar divida,debt
18495,144814,necessidade de caixa pelos pagamentos do início do ano,debt
18496,144813,investimento,investment
18498,144811,ajustes no meu orçamento familiar,debt
18499,144810,investimento,investment
18500,144809,nada a declarar,debt
18501,144807,investir na minha empresa,investment
18502,144806,adiquirir outro veiculo,investment
18503,144805,para pagar o ipva e outras dividas pessoais,debt
18505,144803,pagar cartão de crédito,debt
18506,144801,para comprar carro,investment
18507,144800,quitar dividas,debt
18508,144784,ivestim eu tenho cnpj 20719299000146,investment
18509,144782,comprar um veiculo para o meu trabalho,investment
18511,144778,quitaçao de dividas,debt
18512,144777,abrir um comercio,investment
18513,144776,compra carro,debt
18518,144769,nada a declarar,debt
18520,144765,refinanciar as dívidas,debt
18524,144761,pagar divida,debt
18527,144758,equilibrar as contas,investment
18528,144757,investimento,investment
18530,144754,pagamentos gerais,debt
18533,144751,gastos diversos,debt
18535,144747,para reestruturação financeira pessoal,debt
18537,144744,18000,debt
18542,144734,para solucionar problema financeiro momentaneo,debt
18547,144726,pagar divida,debt
18549,144723,regularizar fluxo de caixa,debt
18555,144712,construir box para auto elétrica,investment
18557,144710,abrir um negócio próprio,debt
18559,144706,para pagar dividas e limpar o meu nome,debt
18561,144704,pagar dívida,debt
18562,144703,comprar um automóvel,investment
18564,144701,pagar dívidas e quitar,debt
18566,144697,investimento em minha empresa,investment
18568,144695,nada a declarar,debt
18572,144689,quitação de dividas,debt
18573,144687,nada a declarar,debt
18574,144686,para pagar dividas,debt
18575,144685,para fazer uma casa,investment
18576,144684,para quitar,debt
18577,144683,nada a declarar,debt
18578,144682,envestir em um comercio,investment
18579,144681,quitar emprestimo veiculo,investment
18581,144678,pagamento de contas,investment
18582,144677,nada a declarar,debt
18583,144674,dividas,debt
18590,144664,para investimento em meu negócio,investment
18593,144659,contas pessoais,debt
18594,144658,pagar dívidas e ficar apenas com uma,debt
18595,144657,pagar um registro de escritura publica em cartorio,debt
18596,144654,pessoal,debt
18597,144653,gastos pessoais,debt
18598,144652,eu preciso pagar algumas dívidas por fechamento de empresa loja,debt
18602,144648,quitar dividas,debt
18603,144647,quitar o meu carro e outras contas em atraso,debt
18605,144643,nada a declarar,debt
18609,144637,para reorganização da renda por motivo de gastos com remédios da minha filha que já está curada,debt
18614,144632,investimentos,investment
18617,144628,quitar dívidas,debt
18619,144622,organizar dividas,investment
18621,144618,outras despeças,debt
18622,144617,quitar dívidas,debt
18623,144614,quitar o carro e fazer uma pequena reforma na casa,investment
18625,144611,terminar uma construção,investment
18629,144605,saude,debt
18631,144603,preciso para medico e uma fatura do cartao,debt
18632,144601,investimento,investment
18633,144598,gastos diversos cobrir despesas,debt
18635,144594,outros gastos,debt
18636,144593,nada a declarar,debt
18637,144591,quitar o veículo,debt
18638,144590,cobrir cheque especial e pagar outro empréstimo,debt
18640,144588,quitação de dívida,debt
18642,144585,pagar dividas à parte,debt
18643,144584,veiculo,debt
18645,144580,gastos diversos,debt
18647,144577,despesas extras,debt
18650,144573,regularizar a documentação do veículo,debt
18656,144564,10000,investment
18657,144563,pagar cartão,debt
18658,144561,nada a declarar,debt
18659,144560,quitar parcelas do inss para aposentar,investment
18661,144558,despesas,debt
18662,144557,pagamento de dividas,debt
18664,144554,reformas na residência,debt
18666,144552,ajuste de finanças centralizar dividas,investment
18668,144550,conprar motocicleta,investment
18669,144549,nada a declarar,debt
18671,144546,quitar dívidas,debt
18672,144545,nada a declarar,debt
18675,144542,envestimento,investment
18677,144540,investir no meu negócio prório,investment
18678,144535,pagar contas,debt
18681,144527,quitar dívidas,debt
18682,144526,consolidar dívidas em único lugar,debt
18683,144524,comprar um veiculo q possa levar minha mãe p o medico,investment
18684,144510,pagamento de contas,investment
18685,144509,completar o valor do veiculo darei uma entrada de 37 mil reais,debt
18691,144503,pessoal,debt
18693,144500,faculdade dos filhos,debt
18694,144499,para paga a parte da minha mae e fica com o carro pra mim,debt
18698,144494,refinanciar dívidas,debt
18701,144490,carro para uso pessoal tirando a habilitacao agora,debt
18702,144489,concentração de empréstimos e redução de taxa de juro,investment
18704,144487,quitar dividas pessoais,debt
18705,144486,quitar dívidas,debt
18706,144485,para pagar outras dívidas,debt
18707,144484,cirurgia,debt
18712,144476,nada a declarar,debt
18715,144473,pagamentos de dividas,debt
18716,144472,para aumenta minha loja,debt
18717,144469,para me organizar financeiramente,investment
18718,144468,nada a declarar,debt
18719,144467,quitar dividas diversas,investment
18720,144466,para comprar outro veículo,investment
18723,144461,reforma,debt
18725,144457,pagar ipva,debt
18727,144454,reformar apartamento,investment
18729,144452,eu para investir em minha franquia,investment
18732,144449,fluxo fe caixa,debt
18735,144445,paga água luz conta d telefone,debt
18736,144442,pagamento de cartão de crédito e regularizar as contas,debt
18737,144441,nada a declarar,debt
18739,144438,comprar um utilitário,investment
18741,144436,gastos,debt
18749,144428,capital de giro,investment
18752,144425,pagar chque especial,debt
18753,144424,comprar equipamento fotográfico para minha empresa,investment
18757,144419,carro,debt
18759,144417,investimento,investment
18760,144413,expandir negócio,investment
18765,144406,veiculo,debt
18768,144400,construção,investment
18769,144398,pagar cartão de crédito,debt
18774,144393,limpar o meu nome,debt
18778,144388,compra,investment
18780,144386,quitar pendências e investir parte em software,investment
18782,144384,para financiar um carro e divida,investment
18783,144382,pagar a divida e investimento comercial,investment
18786,144379,mudança de estado e mobiliando nova cá,investment
18789,144376,nada a declarar,debt
18793,144369,para pagar contas agua luz remedios e agiota,debt
18798,144363,pagar divida,debt
18803,144357,reorganizar a situaçao financeira,debt
18806,144354,ampliar meu negocio,investment
18807,144353,quitar algumas contas e outros gastos variados,debt
18809,144350,alguns acertos financeiros,investment
18812,144344,quitar dividas,debt
18814,144341,para fazer um cagiro e ganhar folego,debt
18816,144338,aquisição de um bem,investment
18817,144337,pagar escola filha,debt
18821,144331,casamento,debt
18823,144326,sair do cheque especial e sanar dívidas contraídas na manutenção do veículo,debt
18824,144323,nada a declarar,debt
18825,144321,nada a declarar,debt
18827,144318,pagto cheque espcial,debt
18829,144316,construir casas para alugar,investment
18832,144312,para comprar outro veiculo,investment
18833,144310,quitar algumas dividas,debt
18835,144308,pagar dividas,debt
18837,144306,para quitar dividas,debt
18841,144297,pagar dividas limpa meu nome,debt
18842,144296,resolver pendências,debt
18844,144293,quitação de divida com redução de juros,debt
18849,144286,negócio,debt
18851,144284,pagar dívidas devido a problemas de saúde na família,debt
18854,144281,construçãoreforma de casa,investment
18858,144277,investi,investment
18859,144275,pagar contas,debt
18860,144274,pagar dividas,debt
18865,144267,terminar construção,investment
18871,144258,quitar outro empréstimo mais caro,investment
18872,144257,pagar o veiculo,debt
18873,144256,para investimento,investment
18878,144250,pessoal,debt
18880,144247,finalizar a construção de uma casa,investment
18881,144246,construção,investment
18886,144239,nada a declarar,debt
18891,144233,fluxo de caixa,debt
18892,144232,180000,investment
18893,144230,para quitar o veiculo e mais alguma contas,investment
18894,144229,para terminar minha casa,debt
18899,144219,comprar um carro,debt
18902,144215,giro,investment
18905,144185,nada a declarar,debt
18909,144180,investimento,investment
18910,144178,quitar divida,debt
18918,144163,pagar dividas,debt
18927,144151,pagar cartão e dividas,debt
18929,144149,capital de giro,investment
18930,144148,para quitar dividas,debt
18931,144147,quitar dividas,debt
18933,144145,quitar dividas,debt
18934,144143,noivado de minha filha,debt
18935,144142,nada a declarar,debt
18936,144140,pagar cartao de crédito,debt
18937,144139,envestimento,investment
18939,144137,quitar minhas dívidas e limpar meu nome,debt
18941,144134,nada a declarar,debt
18946,144126,p quitar uma dividade juros mais elevadosou policial mitilitar do estado de goiás estou na reserva remunerada se possível voces fazerem isto para mim ficarei muito grato,debt
18947,144125,quitar dividas,debt
18951,144116,quitar dividas,debt
18954,144113,entrada em imovel,investment
18956,144111,para pagar uma casa que comprei e esta faltando um pouco de dinheiro,debt
18963,144098,pagar dividas,debt
18964,144097,para investimento na minha empresa,investment
18972,144086,para comprar o carro,investment
18973,144085,pagar dividas,debt
18979,144077,quitar dividas,debt
18981,144075,dar entrada em um imóvel,debt
18982,144074,pagtos diversos,debt
18985,144069,reforma,debt
18987,144067,para quitar dividas,debt
18989,144064,pagar dividas,debt
18990,144063,construção,investment
18994,144057,capita giro,investment
18995,144056,para envestir no meu comércio,investment
18998,144051,adiquiri este veiculo,debt
18999,144050,viagem,investment
19000,144049,others,investment
19003,144045,contas,debt
19006,144041,capital de giro,investment
19008,144039,6000,debt
19010,144036,investimento no ramo de trabalho alimentos,investment
19011,144035,pagar dividas,debt
19012,144034,trocar de carro,debt
19013,144031,pagar divida,debt
19015,144028,nada a declarar,debt
19016,144026,para pagamento do ipva,debt
19022,144019,pra quitação de contas,debt
19023,144017,gastos variados,debt
19032,144007,para centralizar dívidas,debt
19035,144004,pagar algumas contas pendentes,debt
19037,144002,pagar cartão de crédito,debt
19038,144001,pagamentos variados,debt
19043,143995,quitar dívidas,debt
19045,143993,para reformar casa,investment
19046,143992,pagamento da parcela do finaciamento em atraso,debt
19047,143991,necessidade financeira,investment
19049,143986,pagar contas,debt
19052,143982,cartao de credito,debt
19056,143977,empreendimento,investment
19058,143974,investimento,investment
19059,143973,quitar dívidas,debt
19060,143972,quitar saldo negativo,debt
19063,143969,comprar um computador,investment
19066,143964,problemas com dividas,debt
19068,143962,para sair do cheque especial e cartão de crédito,debt
19069,143961,renegociar dívidas,debt
19072,143957,para quitar algumas dividas,debt
19073,143955,contas pessoais,debt
19079,143949,curso de doutorado,debt
19080,143948,investimento,investment
19082,143945,quitar cheque especial e cartão de crédito,debt
19085,143942,para quitação de um credito pessoal,debt
19086,143941,investimento,investment
19090,143937,para quitar dividas estou precisando muito desse dinheiro e achei esse site confiavel,debt
19091,143934,nada a declarar,debt
19094,143931,quitar debitos,debt
19096,143929,refinanciar dividas,investment
19099,143924,quitar as dividas do carro que são ipva e multas,debt
19103,143919,consolidar outras dívidas minimizando os juros,debt
19105,143915,quitar dividas,debt
19106,143914,pagamento de contas comuns,debt
19107,143913,para quitar dividas,debt
19109,143911,comprar um imóvel,investment
19111,143909,nada a declarar,debt
19113,143907,para investimento em pequeno negocio,investment
19114,143906,para gastos diversos,investment
19118,143900,regularização de meu cpf,investment
19119,143895,para gastos com cirurgia,debt
19121,143892,quitação de dividas,debt
19123,143889,para terminar meu apartamento,debt
19127,143885,refinanciar divida cartao credito,debt
19130,143881,paga cheque especial,debt
19131,143880,nada a declarar,debt
19134,143875,compra de mobília e capital de giro,investment
19136,143871,quitar dividas,debt
19137,143869,pagar algumas pendências pessoais,debt
19139,143866,pessoal,debt
19146,143855,para capital de inicio de um comércio,investment
19148,143850,quitação de contas,debt
19149,143848,despesas variadas,debt
19152,143843,pagar outras dividas,debt
19156,143839,quitar meu veículo,debt
19160,143833,resolver particularidades,debt
19163,143830,investimento no trabalho,investment
19167,143826,cartão de crédito,debt
19169,143824,quero quita minhas dívidas o carro se encontra quitado astra hatch preto completo,debt
19172,143819,nada a declarar,debt
19174,143815,comprar outro carro,debt
19178,143810,investir em minha empresa,investment
19179,143808,negocio proprio,debt
19182,143803,outros,investment
19183,143802,pagar investimento no empório de carnes que estou montando,investment
19187,143797,quitar dividas,debt
19190,143793,cirurgia do meu filho de 2 meses,debt
19191,143791,nada a declarar,debt
19192,143790,compra outro veículo para outro serviço,investment
19193,143788,quitar dividas,debt
19195,143736,investimento,investment
19196,143735,reformar casa e quitação de dívidas,debt
19201,143727,quitar dividas,debt
19205,143721,pagar algumas dívidas atrasadas,debt
19207,143719,pagar dívidas,debt
19208,143718,quitar dividas e diminuir os valores dos emprestimos,investment
19211,143714,contas em geral,investment
19215,143709,quitar divida com cartão de credito,debt
19217,143706,pagar imposto de renda,debt
19219,143701,nada a declarar,debt
19220,143700,pagar divida,debt
19223,143696,pagar contas e reforma meu carro,debt
19225,143690,pagar dívidas da empresa,debt
19230,143682,para reforma de casa,investment
19233,143677,limpar o nome,debt
19235,143673,comprar um novo carro,investment
